student_id,name,attendance,avg_grade,infractions,gender,support,mode,dropout_risk,program
STU0173,Student 173,84.2,7.0,0,F,low,full_time,1,Computer Science
STU0174,Student 174,88.4,6.9,0,M,high,full_time,0,Engineering
STU0175,Student 175,87.8,5.4,0,M,low,full_time,1,Science
STU0176,Student 176,93.3,6.3,0,M,medium,full_time,0,Computer Science
STU0177,Student 177,85.1,5.8,0,F,high,full_time,1,Computer Science
STU0178,Student 178,99.5,10.0,0,F,medium,full_time,0,Engineering
STU0179,Student 179,82.4,8.9,0,M,low,part_time,0,Science
STU0180,Student 180,100.0,9.4,0,M,medium,full_time,0,Arts
STU0181,Student 181,91.3,8.6,0,F,medium,full_time,1,Education
STU0182,Student 182,76.4,5.8,0,M,high,full_time,0,Science
STU0183,Student 183,74.3,6.7,0,F,medium,full_time,0,Business
STU0184,Student 184,89.8,8.2,0,F,high,full_time,0,Computer Science
STU0185,Student 185,82.8,5.7,0,M,high,full_time,0,Business
STU0186,Student 186,92.1,8.6,0,F,medium,full_time,0,Arts
STU0187,Student 187,89.7,7.1,0,M,high,full_time,0,Business
STU0188,Student 188,84.3,6.9,0,F,medium,full_time,0,Science
STU0189,Student 189,76.5,8.6,0,F,high,full_time,0,Business
STU0190,Student 190,69.9,8.2,0,F,low,full_time,1,Arts
STU0191,Student 191,80.5,7.0,0,M,medium,full_time,0,Arts
STU0192,Student 192,93.6,9.2,0,F,medium,part_time,0,Arts
STU0193,Student 193,87.1,5.9,0,M,medium,part_time,1,Science
STU0194,Student 194,72.5,8.4,0,M,medium,part_time,0,Arts
STU0195,Student 195,86.7,8.4,0,M,high,part_time,0,Computer Science
STU0196,Student 196,88.9,7.0,0,F,low,part_time,1,Arts
STU0197,Student 197,76.2,8.0,0,F,low,full_time,1,Business
STU0198,Student 198,86.5,5.6,0,F,high,full_time,0,Education
STU0199,Student 199,85.6,8.9,0,F,medium,full_time,0,Business
STU0200,Student 200,73.6,7.2,0,M,high,full_time,0,Education
STU0201,Student 201,88.6,6.7,0,F,high,full_time,0,Business
STU0202,Student 202,90.6,9.1,0,M,high,full_time,0,Science
STU0203,Student 203,95.8,6.4,0,F,high,full_time,0,Business
STU0204,Student 204,95.5,5.4,0,F,medium,full_time,0,Science
STU0205,Student 205,71.2,5.2,0,F,low,part_time,2,Science
STU0206,Student 206,75.6,8.4,0,F,high,full_time,0,Arts
STU0207,Student 207,90.2,5.6,0,M,medium,full_time,0,Computer Science
STU0208,Student 208,90.1,10.0,0,M,low,full_time,0,Education
STU0209,Student 209,90.2,4.4,0,F,medium,full_time,1,Arts
STU0210,Student 210,100.0,10.0,0,M,high,part_time,0,Arts
STU0211,Student 211,90.7,7.8,0,M,medium,full_time,0,Science
STU0212,Student 212,96.4,7.4,0,M,medium,part_time,0,Science
STU0213,Student 213,94.5,6.7,0,F,medium,full_time,0,Education
STU0214,Student 214,91.5,8.1,0,M,medium,full_time,0,Business
STU0215,Student 215,81.8,7.4,0,M,medium,full_time,0,Business
STU0216,Student 216,92.6,9.2,0,F,medium,full_time,0,Arts
STU0217,Student 217,77.3,7.7,0,F,low,full_time,0,Engineering
STU0218,Student 218,82.6,7.7,0,M,high,full_time,0,Engineering
STU0219,Student 219,80.1,7.0,0,M,medium,full_time,0,Business
STU0220,Student 220,85.8,7.4,0,M,high,part_time,0,Engineering
STU0221,Student 221,100.0,8.0,0,M,high,full_time,0,Business
STU0222,Student 222,66.3,4.9,0,M,medium,part_time,1,Science
STU0223,Student 223,91.9,5.5,0,F,medium,full_time,1,Arts
STU0224,Student 224,68.9,8.6,0,F,medium,full_time,0,Computer Science
STU0225,Student 225,80.3,7.8,0,F,high,full_time,0,Arts
STU0226,Student 226,95.9,7.2,0,M,medium,full_time,0,Business
STU0227,Student 227,85.6,7.5,0,F,medium,full_time,0,Business
STU0228,Student 228,74.2,8.0,0,M,medium,full_time,0,Arts
STU0229,Student 229,77.8,6.7,0,F,medium,full_time,0,Education
STU0230,Student 230,91.8,6.3,0,F,low,part_time,1,Business
STU0231,Student 231,77.7,7.8,0,M,medium,full_time,0,Engineering
STU0232,Student 232,87.2,6.0,0,F,high,part_time,0,Engineering
STU0233,Student 233,85.5,8.1,0,M,medium,full_time,0,Business
STU0234,Student 234,78.5,4.9,0,F,medium,full_time,1,Business
STU0235,Student 235,100.0,9.0,0,M,medium,full_time,0,Education
STU0236,Student 236,91.3,8.2,0,M,high,full_time,0,Engineering
STU0237,Student 237,64.7,7.9,0,F,low,full_time,0,Business
STU0238,Student 238,86.9,9.0,0,M,high,full_time,0,Business
STU0239,Student 239,78.4,10.0,0,F,medium,full_time,0,Education
STU0240,Student 240,93.5,9.0,0,M,medium,full_time,0,Education
STU0241,Student 241,77.1,4.7,0,F,low,part_time,2,Arts
STU0242,Student 242,83.9,5.6,0,F,low,part_time,1,Education
STU0243,Student 243,90.0,6.6,0,M,medium,full_time,0,Computer Science
STU0244,Student 244,93.7,7.5,0,M,medium,full_time,0,Engineering
STU0245,Student 245,73.0,8.3,0,M,high,full_time,0,Arts
STU0246,Student 246,81.7,6.4,0,M,low,full_time,1,Computer Science
STU0247,Student 247,80.3,7.8,0,M,medium,full_time,0,Business
STU0248,Student 248,78.5,6.4,0,F,medium,full_time,0,Business
STU0249,Student 249,100.0,6.6,0,F,low,full_time,0,Arts
STU0250,Student 250,89.0,5.4,0,F,low,full_time,0,Education
STU0251,Student 251,72.4,4.1,0,F,medium,full_time,1,Business
STU0252,Student 252,94.2,3.5,0,F,medium,part_time,1,Science
STU0253,Student 253,100.0,4.0,0,F,medium,part_time,0,Arts
STU0254,Student 254,95.3,7.1,0,M,medium,full_time,0,Computer Science
STU0255,Student 255,69.8,4.1,0,F,medium,part_time,1,Arts
STU0256,Student 256,80.2,9.4,0,F,low,part_time,0,Engineering
STU0257,Student 257,97.7,6.2,0,F,medium,full_time,0,Education
STU0258,Student 258,77.9,5.8,0,M,high,full_time,0,Education
STU0259,Student 259,89.4,4.2,0,M,medium,full_time,1,Arts
STU0260,Student 260,92.7,6.6,0,M,medium,part_time,1,Business
STU0261,Student 261,75.7,4.6,0,F,medium,part_time,1,Business
STU0262,Student 262,84.4,5.7,0,F,high,full_time,0,Science
STU0263,Student 263,52.6,9.3,0,M,high,full_time,0,Science
STU0264,Student 264,74.8,5.4,0,F,medium,full_time,0,Education
STU0265,Student 265,82.5,7.2,0,M,high,full_time,0,Science
STU0266,Student 266,72.5,4.4,0,M,low,full_time,1,Computer Science
STU0267,Student 267,100.0,5.4,0,M,low,part_time,1,Science
STU0268,Student 268,70.7,8.2,0,F,high,full_time,0,Computer Science
STU0269,Student 269,80.6,4.6,0,F,high,part_time,1,Science
STU0270,Student 270,86.3,8.2,0,M,low,part_time,1,Education
STU0271,Student 271,99.4,6.6,0,F,medium,full_time,0,Education
STU0272,Student 272,70.6,4.7,0,M,low,full_time,2,Computer Science
STU0273,Student 273,96.6,6.4,0,F,medium,full_time,1,Arts
STU0274,Student 274,85.1,7.0,0,F,high,full_time,0,Education
STU0275,Student 275,75.2,6.4,0,F,medium,full_time,0,Arts
STU0276,Student 276,89.6,3.1,0,M,medium,full_time,1,Business
STU0277,Student 277,87.0,4.4,0,F,medium,full_time,1,Computer Science
STU0278,Student 278,79.0,5.1,0,F,low,full_time,1,Education
STU0279,Student 279,85.7,5.4,0,M,medium,full_time,0,Engineering
STU0280,Student 280,81.1,6.4,0,F,medium,full_time,0,Business
STU0281,Student 281,86.1,5.8,0,M,high,full_time,0,Arts
STU0282,Student 282,91.6,3.5,0,F,high,full_time,0,Education
STU0283,Student 283,100.0,6.1,0,M,low,full_time,1,Computer Science
STU0284,Student 284,72.6,6.4,0,F,high,full_time,0,Science
STU0285,Student 285,100.0,6.3,0,F,high,full_time,0,Engineering
STU0286,Student 286,65.5,7.1,0,M,high,full_time,1,Arts
STU0287,Student 287,83.5,6.8,0,M,medium,full_time,0,Business
STU0288,Student 288,90.9,6.2,0,M,medium,full_time,0,Computer Science
STU0289,Student 289,87.8,5.4,0,M,medium,part_time,1,Engineering
STU0290,Student 290,78.8,3.0,0,M,low,full_time,2,Computer Science
STU0291,Student 291,82.9,6.1,0,F,medium,full_time,0,Education
STU0292,Student 292,80.1,5.8,0,M,medium,full_time,0,Science
STU0293,Student 293,79.1,5.9,0,M,medium,full_time,0,Business
STU0294,Student 294,93.5,3.6,0,F,high,full_time,0,Computer Science
STU0295,Student 295,88.6,3.9,0,M,medium,full_time,0,Arts
STU0296,Student 296,78.1,7.1,0,F,low,full_time,1,Education
STU0297,Student 297,94.0,5.4,0,F,high,full_time,0,Education
STU0298,Student 298,88.1,6.5,0,F,high,full_time,0,Business
STU0299,Student 299,93.1,5.5,0,F,high,full_time,0,Education
STU0300,Student 300,91.3,5.5,0,F,high,full_time,0,Arts
STU0301,Student 301,57.6,6.9,0,M,medium,part_time,1,Computer Science
STU0302,Student 302,61.6,4.7,0,M,high,full_time,1,Business
STU0303,Student 303,81.2,5.6,2,M,low,full_time,0,Education
STU0304,Student 304,79.2,4.8,1,F,medium,full_time,1,Education
STU0305,Student 305,69.7,4.8,4,M,medium,full_time,2,Arts
STU0306,Student 306,71.8,5.0,2,F,low,full_time,1,Science
STU0307,Student 307,89.2,5.8,3,F,low,full_time,1,Science
STU0308,Student 308,61.1,4.8,3,F,medium,full_time,1,Education
STU0309,Student 309,78.2,7.4,0,F,high,full_time,0,Computer Science
STU0310,Student 310,67.0,4.2,1,M,medium,full_time,1,Business
STU0311,Student 311,66.7,5.2,1,F,low,full_time,2,Education
STU0312,Student 312,86.5,4.8,2,F,high,part_time,1,Engineering
STU0313,Student 313,82.4,7.7,3,M,medium,full_time,0,Business
STU0314,Student 314,82.2,5.8,1,M,medium,full_time,0,Science
STU0315,Student 315,89.6,7.0,3,F,medium,full_time,1,Education
STU0316,Student 316,70.3,3.3,1,F,medium,full_time,1,Arts
STU0317,Student 317,80.2,5.9,0,F,medium,full_time,0,Engineering
STU0318,Student 318,65.3,6.8,1,F,high,full_time,0,Education
STU0319,Student 319,74.9,5.6,3,F,medium,full_time,1,Computer Science
STU0320,Student 320,68.0,7.1,1,M,medium,full_time,0,Engineering
STU0321,Student 321,71.5,4.7,1,M,high,full_time,1,Education
STU0322,Student 322,78.9,7.6,2,M,high,full_time,1,Computer Science
STU0323,Student 323,57.7,8.9,4,M,low,part_time,2,Engineering
STU0324,Student 324,100.0,5.0,1,F,low,full_time,1,Computer Science
STU0325,Student 325,54.9,4.8,1,F,low,full_time,1,Computer Science
STU0326,Student 326,51.8,7.7,3,F,medium,full_time,1,Engineering
STU0327,Student 327,87.4,7.9,2,M,medium,full_time,0,Engineering
STU0328,Student 328,81.9,4.7,2,F,low,part_time,2,Computer Science
STU0329,Student 329,79.4,4.9,2,F,high,full_time,1,Science
STU0330,Student 330,79.4,5.1,2,F,medium,full_time,1,Engineering
STU0331,Student 331,69.8,3.5,1,F,medium,full_time,1,Education
STU0332,Student 332,56.5,4.1,0,M,medium,full_time,1,Business
STU0333,Student 333,71.1,4.0,2,M,medium,full_time,1,Arts
STU0334,Student 334,59.8,4.3,1,M,low,full_time,1,Computer Science
STU0335,Student 335,84.6,5.4,1,M,medium,full_time,1,Computer Science
STU0336,Student 336,67.8,5.9,2,M,high,full_time,1,Arts
STU0337,Student 337,57.6,7.8,0,F,medium,full_time,0,Science
STU0338,Student 338,65.2,4.0,0,F,medium,part_time,1,Arts
STU0339,Student 339,76.2,7.0,1,F,medium,part_time,0,Engineering
STU0340,Student 340,61.5,5.2,2,F,low,part_time,2,Arts
STU0341,Student 341,57.7,5.4,2,M,low,full_time,2,Computer Science
STU0342,Student 342,73.7,6.5,0,F,medium,full_time,0,Arts
STU0343,Student 343,73.7,3.8,0,M,medium,part_time,1,Business
STU0344,Student 344,62.4,6.1,3,M,low,full_time,2,Education
STU0345,Student 345,62.9,5.7,3,M,high,full_time,1,Engineering
STU0346,Student 346,73.5,6.2,0,M,high,part_time,0,Arts
STU0347,Student 347,48.3,5.9,1,M,high,part_time,1,Computer Science
STU0348,Student 348,48.9,9.2,2,M,high,full_time,0,Education
STU0349,Student 349,59.2,4.5,0,M,medium,full_time,1,Engineering
STU0350,Student 350,66.8,4.7,2,F,high,full_time,1,Computer Science
STU0351,Student 351,74.7,4.6,1,M,low,part_time,2,Science
STU0352,Student 352,92.1,4.7,0,M,high,part_time,0,Business
STU0353,Student 353,82.9,4.5,2,M,high,full_time,1,Science
STU0354,Student 354,67.6,7.3,4,F,high,full_time,1,Business
STU0355,Student 355,69.7,7.6,2,M,high,part_time,0,Arts
STU0356,Student 356,55.0,4.6,0,M,medium,full_time,1,Engineering
STU0357,Student 357,69.7,4.3,1,M,medium,full_time,1,Arts
STU0358,Student 358,65.7,6.2,0,M,medium,part_time,1,Business
STU0359,Student 359,74.8,4.7,2,M,medium,full_time,1,Business
STU0360,Student 360,57.6,6.4,3,M,low,full_time,1,Business
STU0361,Student 361,77.8,5.8,4,M,medium,full_time,1,Education
STU0362,Student 362,93.0,3.2,3,M,high,full_time,1,Computer Science
STU0363,Student 363,68.4,7.8,3,M,low,part_time,2,Engineering
STU0364,Student 364,76.0,8.2,2,F,high,full_time,1,Arts
STU0365,Student 365,80.4,4.6,0,F,high,part_time,1,Arts
STU0366,Student 366,64.0,4.9,2,M,high,full_time,1,Science
STU0367,Student 367,73.4,5.9,4,M,high,full_time,2,Business
STU0368,Student 368,70.2,6.0,3,F,medium,full_time,1,Business
STU0369,Student 369,71.5,6.5,4,M,high,full_time,1,Business
STU0370,Student 370,58.4,8.5,1,M,high,full_time,0,Arts
STU0371,Student 371,70.4,5.2,1,F,low,full_time,1,Science
STU0372,Student 372,77.5,4.3,1,M,medium,full_time,1,Computer Science
STU0373,Student 373,91.8,3.4,2,M,high,full_time,1,Education
STU0374,Student 374,84.4,4.4,1,M,medium,full_time,1,Engineering
STU0375,Student 375,100.0,5.5,1,F,medium,full_time,0,Computer Science
STU0376,Student 376,58.5,8.2,0,M,medium,full_time,1,Arts
STU0377,Student 377,83.1,4.7,3,F,low,full_time,2,Education
STU0378,Student 378,72.8,5.8,2,F,medium,full_time,1,Education
STU0379,Student 379,100.0,5.5,1,M,high,full_time,0,Education
STU0380,Student 380,57.9,7.3,1,M,medium,full_time,0,Business
STU0381,Student 381,57.4,9.3,2,M,low,full_time,2,Engineering
STU0382,Student 382,61.0,4.7,5,M,low,part_time,2,Arts
STU0383,Student 383,38.1,4.8,0,M,medium,part_time,2,Arts
STU0384,Student 384,62.1,7.1,0,F,high,full_time,0,Education
STU0385,Student 385,58.6,6.5,2,F,medium,full_time,1,Arts
STU0386,Student 386,72.3,8.3,1,F,medium,part_time,1,Engineering
STU0387,Student 387,75.1,6.4,2,M,medium,full_time,1,Engineering
STU0388,Student 388,98.1,5.0,1,F,medium,part_time,0,Science
STU0389,Student 389,84.3,6.4,1,F,high,part_time,1,Science
STU0390,Student 390,61.3,7.2,2,F,high,part_time,1,Computer Science
STU0391,Student 391,56.5,6.7,2,M,low,full_time,2,Engineering
STU0392,Student 392,77.4,6.3,1,F,medium,full_time,0,Engineering
STU0393,Student 393,50.2,7.1,0,M,low,full_time,1,Engineering
STU0394,Student 394,97.5,7.3,1,M,medium,full_time,0,Science
STU0395,Student 395,87.7,7.6,2,M,medium,full_time,1,Education
STU0396,Student 396,63.0,6.5,1,F,low,full_time,2,Education
STU0397,Student 397,44.3,5.2,3,F,medium,full_time,2,Arts
STU0398,Student 398,90.3,5.7,0,M,medium,part_time,0,Education
STU0399,Student 399,68.3,7.3,5,M,high,full_time,1,Business
STU0400,Student 400,88.6,4.3,0,M,high,part_time,0,Science
STU0401,Student 401,46.1,6.1,2,M,low,part_time,1,Engineering
STU0402,Student 402,61.0,4.9,2,M,high,full_time,1,Education
STU0403,Student 403,70.1,5.5,1,M,medium,full_time,1,Science
STU0404,Student 404,70.7,7.4,3,F,medium,part_time,1,Education
