attendance_percentage,academic_score,indiscipline_count,online_engagement_score,dropout
71.84,5.65,3.25,91.31,0
49.2,3.91,2.68,32.43,0
70.09,5.95,1.38,90.11,0
100.0,8.75,0.03,44.57,0
69.62,4.29,0.18,70.02,0
75.28,6.45,0.47,67.13,0
74.34,5.41,1.66,100.0,0
99.92,2.35,0.34,77.25,0
46.85,4.94,2.07,60.95,0
93.71,9.04,0.05,52.39,0
64.51,7.48,2.12,61.23,0
89.22,7.39,3.55,100.0,0
86.86,5.88,0.03,28.26,1
64.55,8.6,0.6,100.0,0
49.39,10.0,1.61,26.16,0
64.1,7.3,4.06,94.3,0
67.73,6.39,0.63,100.0,0
78.42,6.13,8.32,37.79,0
78.92,4.54,0.64,100.0,0
80.12,8.47,1.84,44.91,0
38.18,3.94,1.46,61.3,1
62.77,3.69,0.68,100.0,0
56.01,10.0,2.18,72.38,0
63.49,6.74,1.37,27.76,1
74.3,10.0,2.33,31.05,0
87.65,8.45,0.64,25.93,0
73.51,7.74,0.41,96.61,0
86.2,8.66,2.36,58.66,0
83.59,6.92,0.4,90.46,1
83.93,6.07,7.08,69.01,0
65.69,8.27,3.53,72.4,0
54.15,9.06,2.58,65.33,0
61.99,8.59,1.97,76.68,0
89.27,6.59,3.21,57.07,0
93.4,7.13,8.28,58.86,1
57.55,8.09,0.23,36.39,0
36.33,4.09,2.28,94.61,0
100.0,5.17,0.37,74.16,0
43.6,6.65,0.39,54.42,0
65.08,6.16,6.95,100.0,0
81.87,5.75,0.51,75.07,0
58.2,6.83,4.2,54.68,0
85.87,8.67,1.6,65.58,0
92.68,4.6,1.37,57.06,0
5.38,4.76,1.79,57.76,1
42.21,7.43,4.22,84.77,1
83.11,7.93,3.63,96.67,0
62.02,7.46,4.26,65.82,0
61.21,7.49,3.41,70.72,0
91.36,3.52,7.95,36.0,1
100.0,6.93,0.23,76.23,0
99.18,3.62,5.38,58.84,0
67.74,6.85,1.75,99.88,1
63.82,7.25,2.84,66.72,0
63.9,10.0,0.64,39.25,0
54.58,7.92,0.17,98.05,0
88.0,6.3,1.09,39.32,1
74.09,6.99,4.49,52.23,1
94.01,5.81,1.28,78.57,0
84.2,7.72,1.97,74.91,0
54.39,6.4,0.27,53.09,1
60.18,6.47,1.74,91.02,0
69.46,6.45,0.15,58.69,0
95.47,4.31,3.93,45.83,0
100.0,6.45,2.42,64.48,0
57.47,6.58,0.86,44.96,0
94.78,7.75,0.45,100.0,1
76.19,5.21,2.47,79.83,0
95.99,5.43,0.17,72.86,0
100.0,5.12,1.49,60.76,0
61.97,5.53,4.11,44.21,0
74.51,10.0,1.62,46.67,0
75.76,6.74,0.45,57.44,1
96.82,6.28,2.6,57.92,0
43.76,10.0,2.58,96.97,0
42.34,5.35,1.79,100.0,1
83.03,5.13,4.79,56.24,0
81.48,5.92,1.36,83.59,0
30.31,6.97,1.8,60.94,0
91.15,4.01,0.79,58.31,0
43.88,5.96,0.15,71.92,0
69.81,8.97,0.57,100.0,0
91.94,8.95,1.29,79.55,0
68.93,7.26,0.24,68.21,0
72.38,4.43,5.43,71.97,1
93.33,7.19,1.21,17.48,1
97.16,4.42,0.45,76.91,0
71.19,6.93,2.36,69.23,1
79.02,8.6,0.06,74.94,0
87.77,4.21,1.0,50.71,0
73.72,7.16,4.09,78.52,1
70.12,8.43,0.79,96.17,0
69.05,9.25,3.41,73.01,1
49.44,3.21,2.38,45.22,0
49.14,5.3,0.15,100.0,0
30.02,5.13,3.98,7.51,0
51.87,3.43,1.02,95.56,1
88.6,7.65,2.53,88.97,0
71.22,7.61,0.21,27.68,0
94.42,5.27,1.55,92.96,0
62.93,3.33,0.26,83.75,0
100.0,6.94,0.23,30.18,0
100.0,6.35,1.6,73.13,0
99.12,7.27,4.31,52.45,0
97.99,5.9,4.61,38.9,0
91.06,5.38,1.1,53.16,0
100.0,4.02,0.37,85.84,0
99.49,9.75,1.58,56.06,0
81.29,6.5,0.29,49.91,0
94.53,8.71,9.48,84.22,1
52.98,5.08,0.88,70.85,0
62.56,7.9,1.55,78.27,0
51.55,4.03,2.21,100.0,0
76.93,5.14,6.32,83.47,0
56.7,6.66,1.2,51.61,1
64.32,3.69,0.33,100.0,0
60.02,6.95,2.82,73.34,0
53.59,4.72,0.89,24.09,1
100.0,4.24,1.45,69.85,0
67.3,7.43,5.34,72.05,0
86.37,7.7,0.73,65.63,0
54.27,9.13,7.43,97.15,0
100.0,5.9,2.89,70.26,0
67.57,4.52,0.14,71.42,0
38.95,5.21,1.41,46.52,0
85.8,3.94,2.1,64.66,0
63.73,5.68,0.26,54.66,0
75.31,5.04,10.0,80.92,1
84.99,10.0,1.11,35.83,0
99.16,5.87,2.65,55.59,1
64.08,7.28,1.53,45.15,0
98.93,6.18,0.21,40.17,0
71.54,9.92,0.94,48.13,0
61.62,8.58,2.33,30.02,0
100.0,5.29,2.15,76.91,0
75.64,4.99,0.33,72.22,1
67.69,6.87,0.15,49.94,0
99.01,5.19,2.17,58.71,0
98.71,7.94,0.62,85.18,0
68.55,6.0,1.91,86.04,0
62.13,8.36,7.82,100.0,1
85.77,8.65,0.27,83.92,0
54.1,2.57,1.16,84.49,0
70.57,5.95,4.36,36.49,1
71.66,7.07,2.81,100.0,0
88.26,8.85,0.39,78.16,0
82.99,5.2,3.41,70.76,0
81.18,9.9,1.78,22.52,0
90.07,7.26,2.02,54.44,0
70.82,4.8,3.22,76.52,0
51.08,7.39,0.88,76.95,0
59.3,7.8,6.34,33.75,0
89.45,5.75,10.0,49.57,0
79.49,8.37,0.99,100.0,1
98.33,5.35,0.2,56.2,1
77.53,5.12,1.65,100.0,0
62.5,8.16,3.49,49.55,0
97.32,5.2,2.46,72.21,0
66.36,4.73,1.14,67.93,0
78.8,7.65,1.09,100.0,0
97.95,5.89,0.97,100.0,0
46.78,4.15,0.05,73.52,0
95.66,6.11,3.69,82.84,0
52.77,6.4,0.17,69.31,1
93.0,8.06,0.35,45.04,0
82.07,6.74,0.14,67.5,0
82.1,6.06,0.57,92.84,0
64.48,6.47,0.13,9.39,1
79.94,6.67,1.64,30.94,0
52.79,7.63,1.67,81.66,0
58.83,5.87,0.33,51.64,0
95.35,10.0,0.24,80.72,0
82.59,10.0,0.17,43.2,0
66.03,10.0,1.06,85.48,0
100.0,6.61,1.23,53.85,0
98.24,4.96,1.47,78.08,0
67.79,7.52,1.2,92.08,0
55.53,6.49,2.14,59.34,1
38.38,6.9,3.15,100.0,1
90.31,6.12,1.52,82.12,0
91.68,5.64,4.73,61.63,0
80.96,8.02,0.33,100.0,0
78.83,6.98,1.41,68.01,0
97.97,9.36,0.36,65.32,0
75.65,5.97,1.5,84.49,0
58.89,7.69,3.91,74.21,1
68.93,2.59,3.45,16.95,0
65.03,8.49,0.38,91.02,0
63.69,5.68,0.86,100.0,0
44.63,8.99,3.68,80.09,0
82.45,4.92,0.79,58.38,0
66.96,7.55,3.63,91.78,0
36.28,6.75,0.48,82.85,0
89.47,7.83,2.19,80.25,0
55.67,6.8,1.18,97.68,0
80.06,6.37,0.23,56.62,0
70.56,7.34,3.91,82.83,0
92.77,5.45,0.66,79.18,0
37.3,5.91,1.82,43.66,0
83.57,8.3,1.8,67.39,0
76.66,5.57,10.0,71.75,0
81.95,8.83,0.24,94.38,0
88.07,10.0,1.13,53.65,0
92.72,6.96,1.17,100.0,0
54.71,8.07,1.44,63.85,0
83.48,6.79,1.84,71.09,0
72.89,6.13,0.9,54.71,0
70.6,2.36,0.44,32.38,1
70.9,6.51,0.02,62.27,0
84.6,10.0,0.69,66.0,0
57.28,7.04,0.85,96.9,0
67.02,5.19,1.0,24.92,0
90.44,9.56,0.74,57.92,0
77.9,5.27,2.32,63.29,0
57.24,5.89,1.09,66.72,0
85.24,6.16,2.21,42.74,1
79.13,8.02,4.14,54.69,0
76.17,5.01,0.31,69.17,0
100.0,5.53,0.09,74.0,0
92.11,9.07,3.74,53.84,0
56.12,4.31,3.11,100.0,0
38.61,5.11,1.75,100.0,0
55.26,9.46,0.37,42.36,0
55.71,5.64,0.05,100.0,0
71.99,5.07,0.75,94.12,1
100.0,5.58,0.3,58.15,0
72.96,7.32,0.08,67.79,0
38.92,5.79,4.61,87.42,0
44.21,3.53,0.83,40.15,1
100.0,7.0,3.59,24.97,0
49.77,4.77,6.79,20.52,1
71.56,4.28,1.97,6.74,0
80.84,8.3,1.69,39.26,0
74.4,5.36,1.57,76.34,0
67.76,7.06,3.16,85.54,0
72.51,4.15,7.93,98.15,0
46.04,4.81,0.45,55.11,1
100.0,5.96,4.01,68.63,0
83.29,9.48,6.25,65.07,0
98.32,6.09,4.47,84.84,0
100.0,6.02,2.57,50.68,0
97.91,5.44,0.65,93.83,0
85.3,7.93,0.31,90.01,0
86.69,7.4,1.9,69.34,0
42.19,3.23,0.14,50.19,0
75.6,7.72,0.71,70.03,0
71.42,6.67,0.15,29.81,0
92.46,5.24,5.3,90.74,0
44.18,6.23,2.05,71.5,0
57.91,7.17,4.39,0.0,0
62.02,6.88,2.3,90.18,0
79.73,9.24,1.47,79.81,0
38.33,6.44,0.29,56.9,0
62.48,6.53,0.65,61.8,0
57.83,8.75,0.21,36.35,0
95.55,5.17,4.45,91.27,0
73.69,10.0,0.98,100.0,1
94.31,8.97,6.77,43.62,0
87.32,8.91,0.1,80.2,0
46.12,1.91,0.47,34.89,0
65.94,9.4,3.45,60.08,0
95.78,6.35,0.49,94.27,0
82.53,4.7,2.68,96.88,0
56.99,7.78,4.42,48.04,0
75.82,4.5,0.62,31.87,1
70.64,1.22,1.04,100.0,0
85.76,6.42,1.46,40.48,0
77.42,9.6,7.46,86.82,0
94.62,5.02,1.46,39.02,1
78.3,6.6,3.76,86.76,0
42.98,4.84,0.14,51.42,0
71.48,9.82,0.12,83.43,0
49.8,5.27,0.44,78.47,0
52.77,6.99,3.33,37.55,1
58.78,3.98,4.99,63.43,0
68.6,6.8,0.32,42.77,0
42.85,6.87,1.39,56.75,0
71.39,9.25,1.58,55.91,0
46.52,5.97,0.1,81.2,0
43.04,7.42,1.15,52.08,0
83.52,6.54,2.83,67.88,0
89.4,3.91,2.2,75.8,0
68.74,6.5,0.02,85.46,0
49.99,7.71,0.78,81.74,0
66.27,6.37,1.31,50.1,0
89.88,6.14,10.0,36.4,0
37.67,8.52,3.1,80.16,0
50.78,7.96,0.43,31.84,0
79.28,6.12,0.66,72.65,0
85.98,10.0,2.84,47.53,0
100.0,5.69,1.29,33.72,0
63.99,4.45,3.86,4.89,1
65.43,8.42,2.37,87.01,0
77.19,8.61,0.66,57.4,0
88.8,1.38,0.11,42.82,0
99.35,8.14,3.77,26.85,0
92.27,7.66,0.4,89.58,0
100.0,3.06,2.16,72.13,0
84.61,5.36,1.75,86.26,0
94.41,8.11,0.22,100.0,1
96.64,8.49,1.24,75.75,0
66.55,7.85,3.29,56.04,0
96.16,8.38,1.65,69.86,0
84.08,5.43,2.65,62.65,0
73.79,7.41,0.54,92.26,0
100.0,6.58,3.97,82.3,0
55.07,5.94,4.01,58.03,0
82.53,8.12,3.19,87.09,0
76.39,5.22,0.68,44.27,0
99.35,4.76,1.04,56.6,0
66.36,6.17,0.94,74.0,0
51.29,7.54,1.08,59.66,0
64.86,3.16,7.86,70.82,0
100.0,5.27,2.44,23.85,0
58.43,5.17,1.32,46.95,0
76.75,7.29,0.16,56.33,0
100.0,9.0,0.62,90.28,0
43.5,8.35,0.63,95.44,0
70.7,7.05,1.77,96.18,0
75.88,5.99,0.58,84.3,0
67.29,7.34,2.23,69.41,0
81.33,6.88,1.14,59.08,0
75.32,6.33,1.9,37.69,0
82.18,7.64,0.03,50.41,0
100.0,5.9,1.87,55.5,0
83.16,7.41,3.46,71.9,0
100.0,7.86,2.68,50.92,0
78.08,8.03,1.55,50.35,0
97.14,7.78,1.21,36.53,0
42.69,2.43,2.1,56.26,1
61.19,6.51,1.35,57.67,1
61.02,5.52,0.35,89.76,0
61.11,7.16,0.68,42.87,0
32.1,7.57,0.87,82.05,0
52.09,3.77,1.41,64.26,0
46.99,6.53,3.92,93.05,0
67.21,9.68,1.89,81.84,0
54.26,7.99,0.25,94.4,0
69.38,7.35,0.87,64.57,0
46.65,7.7,0.12,35.56,0
77.25,7.39,1.63,30.35,0
96.72,8.61,0.38,4.11,0
85.98,10.0,0.25,46.86,0
83.67,4.89,0.46,91.46,0
21.3,7.02,0.04,100.0,0
53.07,8.18,0.02,77.02,1
82.23,7.18,1.33,97.41,0
81.67,5.9,4.28,50.0,0
69.49,8.38,1.56,54.83,0
69.1,9.19,10.0,23.09,1
49.91,3.56,0.14,54.88,0
100.0,8.44,0.02,86.29,0
80.37,9.53,0.14,81.43,0
90.02,7.75,1.46,80.24,0
60.59,7.56,0.43,77.41,0
85.83,9.38,2.12,74.77,0
73.15,4.07,2.52,48.81,0
59.84,5.13,1.11,70.39,0
79.45,5.54,0.97,82.77,0
93.53,4.3,0.61,74.3,0
58.65,5.28,2.37,81.58,0
95.89,7.57,3.01,52.58,0
56.01,9.37,1.13,78.74,1
88.58,5.9,4.38,86.77,0
81.7,7.13,0.57,52.32,0
90.14,7.72,3.9,67.57,0
74.21,6.23,3.06,24.7,0
87.44,9.16,2.87,96.79,0
79.99,8.59,1.74,100.0,0
85.0,3.7,5.27,64.84,0
87.51,8.27,1.8,68.35,0
53.82,9.46,5.68,70.03,0
95.23,9.18,0.64,80.1,0
86.26,4.74,1.21,93.81,0
100.0,8.21,3.64,45.49,1
79.83,4.2,0.65,73.78,0
65.68,6.2,0.06,49.81,0
52.39,7.75,3.98,65.84,0
92.91,5.24,10.0,77.22,0
64.67,6.11,7.41,78.58,0
70.88,5.01,0.15,53.51,0
65.18,5.93,0.37,27.44,0
50.94,4.42,0.53,60.46,0
65.88,6.86,0.47,60.51,0
74.37,4.8,0.72,100.0,0
78.68,10.0,0.31,34.34,0
73.39,4.83,0.73,40.35,0
100.0,8.13,3.0,59.65,0
69.42,8.19,0.43,100.0,0
99.94,6.38,0.9,63.17,0
100.0,5.95,0.27,76.55,0
100.0,6.18,0.52,17.58,0
79.34,4.31,0.41,47.28,0
64.03,8.17,5.24,71.69,0
99.36,5.47,0.92,72.9,0
64.38,7.47,2.23,52.94,0
58.23,4.73,0.0,77.4,0
62.25,7.42,1.23,52.14,0
56.27,5.16,0.54,68.26,0
62.86,7.42,1.34,100.0,0
64.48,9.28,3.52,55.02,0
90.36,6.93,1.43,53.73,1
98.99,6.06,0.35,68.86,0
79.98,4.71,0.66,59.6,0
100.0,5.27,0.27,51.73,0
89.86,6.73,0.98,72.45,0
60.95,4.09,0.06,72.29,0
88.9,3.58,2.27,91.73,0
81.63,7.57,0.65,91.9,0
53.23,3.94,0.16,29.01,0
65.63,4.19,5.28,78.1,0
73.9,7.47,1.39,65.33,0
91.49,8.13,1.72,46.28,0
69.6,7.69,2.35,49.39,0
58.28,2.73,3.56,78.81,0
73.75,2.8,0.71,35.79,1
77.46,4.48,4.65,100.0,0
100.0,8.12,4.57,28.63,1
72.55,6.69,1.72,44.3,0
100.0,7.7,0.07,80.58,0
80.16,4.02,0.7,68.35,0
66.73,10.0,0.51,34.59,0
96.65,5.56,3.44,15.89,0
63.33,8.58,0.47,68.29,0
65.98,7.6,0.96,82.11,0
37.61,5.72,5.39,78.4,0
25.23,5.18,0.35,74.01,0
68.15,6.84,1.08,76.67,0
63.27,6.95,0.88,15.37,1
83.51,8.89,0.94,58.37,0
100.0,4.79,2.15,65.86,0
81.35,5.83,0.09,40.0,0
44.71,7.14,1.4,78.84,0
79.51,7.89,1.99,100.0,0
60.34,10.0,2.63,62.54,0
99.01,6.78,1.13,88.31,0
73.87,8.94,1.44,86.82,0
73.11,7.34,2.61,100.0,0
72.41,7.66,3.06,71.84,0
60.41,7.22,5.58,81.09,0
84.01,2.76,1.08,61.8,0
82.78,7.0,0.18,48.99,1
52.35,7.19,0.53,82.28,0
63.12,6.29,0.08,22.27,0
71.35,6.56,3.1,67.77,0
81.89,6.35,1.57,93.79,0
70.17,8.06,1.6,67.52,0
63.18,7.81,0.51,67.23,0
88.55,4.95,0.11,0.0,0
88.46,1.76,0.35,100.0,0
71.56,6.16,0.62,41.14,0
100.0,4.78,0.43,37.07,0
68.75,7.72,0.52,33.33,0
85.33,8.45,3.48,42.41,0
100.0,4.22,0.63,92.32,0
69.39,2.85,1.93,31.62,0
97.89,6.92,0.45,74.63,0
100.0,7.09,0.03,46.19,0
86.73,5.71,0.22,92.51,0
93.03,9.88,1.85,88.39,0
93.36,4.97,0.51,43.75,0
58.84,7.92,0.12,77.09,0
69.28,2.27,5.29,59.55,0
53.58,10.0,1.59,56.35,0
78.69,8.38,1.66,50.67,0
41.63,8.62,4.98,43.31,0
79.58,2.78,2.39,72.78,0
82.35,6.8,0.7,86.32,0
70.24,6.59,2.61,99.13,0
57.43,5.74,0.2,51.0,0
92.63,7.94,0.25,37.56,1
87.17,10.0,0.18,16.19,0
47.22,5.31,0.2,54.31,0
74.37,7.05,1.52,100.0,0
58.65,3.23,2.23,41.17,1
56.66,7.15,1.73,97.52,0
75.0,8.67,2.62,40.45,1
100.0,4.47,3.79,62.6,0
73.92,4.54,1.76,48.67,0
78.92,4.69,1.57,86.43,0
74.95,5.32,2.34,49.06,0
100.0,7.65,0.91,57.02,0
85.06,10.0,0.89,60.65,0
54.47,8.96,2.25,100.0,0
88.58,6.23,0.58,75.45,0
63.12,6.17,0.83,38.73,0
51.93,3.13,0.24,64.67,1
60.82,10.0,2.09,74.31,0
73.45,4.11,1.84,25.08,1
69.4,4.57,0.36,48.99,0
100.0,8.88,4.11,23.85,0
58.68,6.66,1.67,64.89,0
73.52,6.35,1.13,51.09,0
85.11,9.48,3.53,68.85,0
84.83,7.64,0.65,83.99,1
100.0,7.56,5.5,64.44,1
63.2,8.19,0.28,100.0,0
77.63,5.32,4.65,37.68,0
81.52,8.92,0.87,76.31,0
99.82,7.65,1.83,83.06,0
48.12,7.51,1.97,37.79,0
100.0,7.61,1.48,87.39,0
50.67,6.08,0.41,58.06,0
80.72,1.5,1.32,97.22,0
60.45,6.52,0.15,100.0,1
85.94,6.64,0.1,74.38,0
65.24,8.14,0.16,67.72,0
42.25,6.74,0.89,94.45,0
52.73,10.0,1.35,60.97,0
77.21,7.51,2.61,46.89,0
87.41,8.58,1.58,90.39,0
57.05,3.88,3.05,71.13,0
44.45,3.1,7.65,82.51,1
63.92,9.7,1.73,80.87,0
78.19,5.77,0.3,100.0,0
78.15,6.51,0.29,45.86,1
100.0,4.16,1.32,24.21,0
51.39,7.03,1.28,100.0,1
99.09,5.25,1.66,91.99,0
88.14,8.16,1.88,42.21,0
100.0,3.55,1.44,24.0,0
76.28,5.78,5.68,67.17,0
92.05,10.0,1.05,93.96,0
93.72,6.87,1.82,62.56,0
77.89,8.15,0.4,49.2,0
85.45,2.83,1.77,100.0,0
45.22,6.69,0.67,100.0,1
96.37,7.71,5.4,67.32,0
100.0,8.79,5.37,86.24,1
69.47,7.4,0.5,100.0,0
90.84,8.07,0.75,36.26,0
86.19,6.88,0.72,87.32,0
73.09,7.33,0.28,99.87,0
75.44,3.58,0.75,100.0,0
64.97,3.66,0.63,84.91,0
100.0,5.11,4.55,61.52,0
44.84,4.19,0.13,45.25,0
94.8,5.33,4.17,89.57,0
63.7,7.35,2.34,73.73,0
100.0,6.52,1.43,61.0,0
72.42,7.18,2.17,88.28,0
91.34,5.65,0.28,95.74,0
86.07,5.77,0.37,71.83,0
67.99,8.6,0.37,74.47,0
76.82,10.0,1.85,100.0,0
63.14,7.13,3.65,100.0,0
82.23,7.72,0.24,93.33,1
96.3,9.41,0.63,94.91,0
83.48,6.58,0.92,35.79,0
95.25,6.18,1.41,41.56,0
71.37,6.29,2.18,31.16,1
62.56,7.67,3.43,45.11,1
92.16,4.84,1.44,92.41,0
90.86,6.26,0.85,34.77,1
84.58,7.86,0.37,78.04,0
75.68,4.42,0.86,100.0,0
72.87,5.59,3.24,52.69,0
97.77,6.56,4.02,76.93,0
79.97,3.25,9.69,45.62,0
46.58,5.47,3.42,95.05,1
59.36,4.98,0.14,75.88,0
38.38,4.04,4.17,69.6,1
71.99,5.85,0.71,46.99,0
81.33,4.73,0.26,82.13,0
86.72,5.68,0.37,100.0,0
71.71,6.92,0.67,48.69,0
50.65,6.82,2.35,57.19,0
88.1,8.12,2.07,74.09,0
49.71,2.91,0.08,66.65,0
67.05,4.13,5.9,80.09,0
74.1,6.87,2.99,99.93,0
98.64,7.46,0.14,38.77,0
55.6,5.7,1.81,58.92,1
62.71,5.08,0.71,99.58,1
96.82,5.57,0.46,100.0,0
100.0,4.29,0.05,42.25,0
47.08,7.68,0.98,56.6,0
74.86,6.07,0.26,81.82,0
81.39,9.81,4.32,100.0,1
53.05,3.55,2.85,79.53,0
94.0,6.99,0.1,63.99,0
81.03,6.85,1.1,77.43,0
31.08,6.18,4.81,100.0,1
59.0,2.68,3.77,99.84,0
100.0,7.92,3.27,61.68,0
100.0,4.61,1.2,51.45,0
86.72,5.03,1.58,53.64,0
45.02,6.32,6.84,47.9,0
100.0,6.95,0.58,44.1,0
94.21,7.42,1.6,81.85,0
92.75,8.02,7.41,23.49,0
68.01,4.95,3.38,28.86,1
66.76,8.33,4.08,72.42,0
69.4,3.94,0.36,77.86,1
63.39,5.28,0.08,85.75,0
60.37,10.0,6.12,78.33,0
62.84,7.23,0.72,100.0,0
67.06,4.3,1.92,71.92,0
86.36,4.4,1.95,63.77,1
79.86,2.34,0.44,56.95,0
100.0,4.95,1.15,81.09,0
33.7,6.56,2.67,69.26,0
100.0,7.22,1.33,100.0,0
20.91,5.24,0.16,52.12,0
55.3,6.9,0.07,99.44,0
64.65,6.32,1.19,100.0,1
61.43,5.86,0.91,75.44,0
100.0,8.1,0.67,51.78,0
58.81,8.41,0.77,91.84,0
42.68,7.1,0.84,74.81,1
72.91,7.29,1.85,75.88,0
54.61,6.91,1.74,57.47,1
90.0,7.06,1.95,60.1,0
78.79,7.09,2.26,47.14,0
44.25,6.21,1.92,67.68,0
67.23,5.89,0.46,59.82,1
100.0,6.05,4.33,71.99,0
97.79,5.73,0.29,74.18,0
72.73,6.94,0.81,95.44,0
86.91,5.32,2.68,65.96,0
100.0,8.27,7.51,100.0,0
70.99,6.96,5.9,53.09,0
100.0,3.44,1.18,48.98,0
70.15,2.72,0.37,41.04,0
94.16,6.92,0.33,100.0,0
60.3,9.81,1.4,62.95,0
73.88,7.18,1.39,76.41,0
82.63,7.12,1.22,11.07,0
64.7,6.99,3.97,50.85,0
94.8,6.07,0.46,75.58,0
75.26,7.46,0.69,98.65,0
69.05,6.01,0.71,66.18,1
65.32,4.57,5.62,36.77,0
100.0,5.81,8.23,45.7,1
65.42,7.22,1.26,37.28,0
82.92,7.03,1.13,27.3,1
96.95,3.37,5.23,70.27,0
79.87,4.32,0.66,53.1,0
77.21,5.25,0.17,64.87,0
57.86,4.25,0.18,66.01,0
75.91,7.62,0.03,61.52,0
81.49,2.89,1.52,40.6,0
74.89,8.86,1.85,76.11,0
80.53,6.52,1.89,100.0,0
43.74,4.14,1.13,67.88,1
38.16,8.28,3.32,51.01,0
78.29,10.0,1.18,71.8,0
79.19,4.32,4.05,100.0,0
73.17,4.72,1.0,60.48,0
90.19,5.92,6.8,22.81,0
52.58,8.36,2.67,30.66,0
34.56,6.3,0.43,36.98,0
98.19,8.45,1.87,76.56,0
100.0,7.71,0.47,66.52,0
99.13,3.45,1.57,60.44,0
66.53,3.77,2.44,55.37,0
62.4,7.96,0.14,41.57,0
84.89,7.27,3.73,100.0,0
